project, status, reproducibleVariants, nonReproducibleVariants, stars
tencentcloud-sdk-python-privatedns, Fully Reproducible, ['all'], [], -1
ladybug-rhino, Fully Reproducible, ['all'], [], -1
siggen, Fully Reproducible, ['all'], [], -1
imgcompare, Fully Reproducible, ['all'], [], -1
gargoyle-yplan, Fully Reproducible, ['all'], [], -1
clc-ansible-module, Fully Reproducible, ['all'], [], -1
fastavro, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], -1
django-xicon, Fully Reproducible, ['all'], [], -1
django-sql-utils, Fully Reproducible, ['all'], [], -1
keras-bert, Fully Reproducible, ['all'], [], -1
pytest-reportportal, Fully Reproducible, ['all'], [], -1
dqrobotics, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
replace, Fully Reproducible, ['all'], [], -1
django-mass-edit, Fully Reproducible, ['all'], [], -1
fab-classic, Fully Reproducible, ['all'], [], -1
fmpy, Fully Reproducible, ['all'], [], -1
