project, status, reproducibleVariants, nonReproducibleVariants, stars
mistletoe, Fully Reproducible, ['all'], [], 627
mkdocs-macros-plugin, Not Reproducible, ['user_group.available+=builduser:builduser'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'locales'; 'time'; 'umask'], 208
mkdocs-minify-plugin, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 96
museval, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'umask'], 154
myo, Fully Reproducible, ['all'], [], 4
mypy-boto3-athena, Fully Reproducible, ['all'], [], 3
nosecomplete, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'home'; 'locales'; 'time'; 'umask'], 68
nxpd, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 116
ory-hydra-client, Fully Reproducible, ['all'], [], 112
oschmod, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 16
pandas-alive, Fully Reproducible, ['all'], [], 541
papermill, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'locales'], ['build_path'; 'fileordering'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5296
pbd, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 85
picmistandard, Fully Reproducible, ['all'], [], 29
pkgconfig, Fully Reproducible, ['all'], [], 58
proactive, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'], ['build_path'; 'home'; 'locales'; 'time'; 'timezone'; 'umask'], 5
pygeohash, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'home'; 'locales'; 'time'; 'umask'], 144
pygments-markdown-lexer, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'fileordering'; 'home'; 'locales'; 'time'; 'umask'], 18
pygmsh, Fully Reproducible, ['all'], [], 711
pym2149, Fully Reproducible, ['all'], [], 8
pymartini, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 70
pymilvus, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 639
pyminknow, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 8
pyobjc-framework-fileproviderui, Fully Reproducible, ['all'], [], 411
pyproject-parser, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'exec_path'], ['build_path'; 'fileordering'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 9
pyshac, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 21
pytest-custom-exit-code, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 26
pytest-flask, Fully Reproducible, ['all'], [], 450
pytest-rerunfailures, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 311
pytgcalls, Fully Reproducible, ['all'], [], 447
python-easyconfig, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'timezone'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], 5
python-gmaps, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'fileordering'; 'home'; 'locales'; 'time'; 'umask'], 27
python-pcre, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'], ['build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 57
pythondata-cpu-rocket, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 11
pytricia, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'], ['environment'; 'build_path'; 'time'; 'timezone'; 'umask'], 193
qiskit-terra, Fully Reproducible, ['all'], [], 3674
quantum-gateway, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'umask'], 14
robotframework-assertion-engine, Fully Reproducible, ['all'], [], 9
runai, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'home'; 'locales'; 'time'; 'umask'], 115
s3contents, Fully Reproducible, ['all'], [], 229
samsungtvws, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'fileordering'; 'home'; 'locales'; 'time'; 'umask'], 164
saspy, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 335
sbvirtualdisplay, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'locales'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 4
selenium-base, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3385
simple-term-menu, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'home'; 'locales'; 'time'; 'umask'], 397
snuggs, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 17
sobol-seq, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 67
socketio-client, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['build_path'; 'home'; 'locales'; 'time'; 'umask'], 442
speak2mary, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'umask'], 2
split-folders, Fully Reproducible, ['all'], [], 375
stackprinter, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'kernel'], ['build_path'; 'fileordering'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1249
