projectName,URL,slug
draftjs-sanitizer,https://github.com/NyanKiyoshi/draftjs-sanitizer/,NyanKiyoshi/draftjs-sanitizer
dragonfly-core,https://github.com/ladybug-tools/dragonfly-core,ladybug-tools/dragonfly-core
dragonfly-energy,https://github.com/ladybug-tools/dragonfly-energy,ladybug-tools/dragonfly-energy
dragonfly-grasshopper,https://github.com/ladybug-tools/dragonfly-grasshopper,ladybug-tools/dragonfly-grasshopper
dragonfly-opt,https://github.com/dragonfly/dragonfly/,dragonfly/dragonfly
dragonfly-schema,https://github.com/ladybug-tools/dragonfly-schema,ladybug-tools/dragonfly-schema
dragonfly-uwg,https://github.com/ladybug-tools/dragonfly-uwg,ladybug-tools/dragonfly-uwg
drain3,https://github.com/IBM/Drain3,IBM/Drain3
drawnow,https://github.com/stsievert/python-drawnow,stsievert/python-drawnow
dreal,https://github.com/dreal/dreal4,dreal/dreal4
dreemchest,https://github.com/dmsovetov/Dreemchest,dmsovetov/Dreemchest
drf-access-policy,https://github.com/rsinger86/drf-access-policy,rsinger86/drf-access-policy
drf-api-tracking,https://github.com/lingster/drf-api-tracking,lingster/drf-api-tracking
drf-compound-fields,https://github.com/estebistec/drf-compound-fields,estebistec/drf-compound-fields
drf-dynamic-fields,https://github.com/dbrgn/drf-dynamic-fields,dbrgn/drf-dynamic-fields
drf-enum-field,https://github.com/seebass/drf-enum-field,seebass/drf-enum-field
drf-exceptions-hog,https://github.com/posthog/drf-exceptions-hog,posthog/drf-exceptions-hog
drf-extra-fields,https://github.com/Hipo/drf-extra-fields,Hipo/drf-extra-fields
drf-flex-fields,https://github.com/rsinger86/drf-flex-fields,rsinger86/drf-flex-fields
drf-generators,https://github.com/brobin/drf-generators,brobin/drf-generators
drf-haystack,https://github.com/rhblind/drf-haystack,rhblind/drf-haystack
drf-json-api-utils,https://github.com/amitassaraf/drf-json-api-utils,amitassaraf/drf-json-api-utils
drf-jwt,https://github.com/Styria-Digital/django-rest-framework-jwt,Styria-Digital/django-rest-framework-jwt
drf-nested-routers,https://github.com/alanjds/drf-nested-routers,alanjds/drf-nested-routers
drf-oidc-auth,https://github.com/ByteInternet/drf-oidc-auth,ByteInternet/drf-oidc-auth
drf-openapi,https://github.com/limdauto/drf_openapi,limdauto/drf_openapi
drf-renderer-xlsx,https://github.com/wharton/drf-renderer-xlsx,wharton/drf-renderer-xlsx
drf-spectacular,https://github.com/tfranzel/drf-spectacular,tfranzel/drf-spectacular
drf-tracking,https://github.com/aschn/drf-tracking,aschn/drf-tracking
drf-tus,https://github.com/dirkmoors/drf-tus,dirkmoors/drf-tus
drf-typed-views,https://github.com/rsinger86/drf-typed-views,rsinger86/drf-typed-views
drf-ujson,https://github.com/gizmag/drf-ujson-renderer,gizmag/drf-ujson-renderer
drf-yasg,https://github.com/axnsan12/drf-yasg,axnsan12/drf-yasg
drf-yasg2,https://github.com/JoelLefkowitz/drf-yasg,JoelLefkowitz/drf-yasg
drift-python,https://github.com/Driftt/drift-python,Driftt/drift-python
