project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/opencontainers/go-digest, Fully Reproducible, ['all'], [], 128
github.com/jonboulle/clockwork, Fully Reproducible, ['all'], [], 448
github.com/eclipse/paho.mqtt.golang, Fully Reproducible, ['all'], [], 2327
github.com/hashicorp/yamux, Fully Reproducible, ['all'], [], 1775
go.mongodb.org/mongo-driver, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7503
github.com/containerd/cgroups, Fully Reproducible, ['all'], [], 974
github.com/oklog/run, Fully Reproducible, ['all'], [], 1319
github.com/vmware/govmomi, Fully Reproducible, ['all'], [], 2134
github.com/lestrrat-go/jwx, Fully Reproducible, ['all'], [], 1540
google.golang.org/api, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3501
github.com/containerd/console, Fully Reproducible, ['all'], [], 93
github.com/mattn/go-runewidth, Fully Reproducible, ['all'], [], 486
github.com/ryanuber/columnize, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 152
github.com/disintegration/imaging, Fully Reproducible, ['all'], [], 4696
go.etcd.io/bbolt, Fully Reproducible, ['all'], [], 6681
github.com/gobwas/glob, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 851
github.com/jarcoal/httpmock, Fully Reproducible, ['all'], [], 1583
github.com/kevinburke/ssh_config, Fully Reproducible, ['all'], [], 323
github.com/mgechev/revive, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 4209
github.com/gobuffalo/packr, Fully Reproducible, ['all'], [], 3335
gopkg.in/inf.v0, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 40
github.com/etcd-io/etcd, Fully Reproducible, ['all'], [], 43902
go.etcd.io/etcd/server/v3, Fully Reproducible, ['all'], [], 43902
github.com/gophercloud/gophercloud, Fully Reproducible, ['all'], [], 752
cloud.google.com/go/storage, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3326
github.com/gobuffalo/flect, Fully Reproducible, ['all'], [], 91
github.com/konsorten/go-windows-terminal-sequences, Fully Reproducible, ['all'], [], 27
